,0
0,Alabama
1,Delaware
2,Illinois
3,Indiana
4,Kentucky
5,Maryland
6,Massachusetts
7,Minnesota
8,New Jersey
9,Tennessee
10,Utah
11,Vermont
12,Wisconsin
